[2025-06-17 17:20:05,589],[1],DEBUG,SDKLog,发现log4net组件,可以输出日志
[2025-06-17 17:20:09,135],[1],DEBUG,SDKLog,【TX】FF000150006320
[2025-06-17 17:20:09,188],[10],INFO,SDKLog,【RX】 FF0003500000012EB9
[2025-06-17 17:20:15,891],[12],DEBUG,SDKLog,【TX】FF00030A0001010018
[2025-06-17 17:20:16,187],[10],INFO,SDKLog,【RX】 FF00130A0000000000000000000000000000000000000007D1
[2025-06-17 17:20:18,786],[12],DEBUG,SDKLog,【TX】FF00030A0001010018
[2025-06-17 17:20:19,101],[10],INFO,SDKLog,【RX】 FF00130A0000000000000000000000000000000000000007D1
[2025-06-17 17:20:33,010],[12],DEBUG,SDKLog,【TX】FF00030A0001010018
[2025-06-17 17:20:33,276],[10],INFO,SDKLog,【RX】 FF00130A0000000000000000000000000000000000000007D1
[2025-06-17 17:20:33,901],[12],DEBUG,SDKLog,【TX】FF00030A0001010018
[2025-06-17 17:20:34,189],[10],INFO,SDKLog,【RX】 FF00130A0000000000000000000000000000000000000007D1
[2025-06-17 17:20:41,704],[12],DEBUG,SDKLog,【TX】FF00030A0001010018
[2025-06-17 17:20:41,971],[10],INFO,SDKLog,【RX】 FF00130A0000000000000000000000000000000000000007D1
[2025-06-17 17:20:42,605],[13],DEBUG,SDKLog,【TX】FF00030A0001010018
[2025-06-17 17:20:42,882],[10],INFO,SDKLog,【RX】 FF00130A0000000000000000000000000000000000000007D1
[2025-06-17 17:21:04,425],[7],DEBUG,SDKLog,【TX】FF00030A0001010018
[2025-06-17 17:21:04,712],[10],INFO,SDKLog,【RX】 FF00130A0000000000000000000000000000000000000007D1
[2025-06-17 17:21:05,273],[7],DEBUG,SDKLog,【TX】FF00030A0001010018
[2025-06-17 17:21:05,562],[10],INFO,SDKLog,【RX】 FF00130A0000000000000000000000000000000000000007D1
[2025-06-17 17:21:20,409],[7],DEBUG,SDKLog,【TX】FF00030A0001010018
[2025-06-17 17:21:20,765],[10],INFO,SDKLog,【RX】 FF00130A00000033313053433932440102030405060708B4CD
[2025-06-17 17:21:21,505],[7],DEBUG,SDKLog,【TX】FF00030A0001010018
[2025-06-17 17:21:21,860],[10],INFO,SDKLog,【RX】 FF00130A00000033313053433932440102030405060708B4CD
[2025-06-17 17:22:55,488],[14],DEBUG,SDKLog,【TX】FF00030A0101013728
[2025-06-17 17:22:55,817],[10],INFO,SDKLog,【RX】 FF00130A00000133313053433932440102030405060708A42F
