[2025-12-31 13:23:59,304],[1],DEBUG,SDKLog,??log4net?件,可以?出日志
[2025-12-31 13:24:01,999],[1],DEBUG,SDKLog,【TX】FF00030C0000000491
[2025-12-31 13:24:02,052],[8],INFO,SDKLog,【RX】 FF00050C00000101087B70
[2025-12-31 13:24:05,400],[10],DEBUG,SDKLog,【TX】FF00030A0001010018
[2025-12-31 13:24:05,670],[8],INFO,SDKLog,【RX】 FF000B0A0000005555555555555555B9AA
[2025-12-31 13:24:05,907],[10],DEBUG,SDKLog,【TX】FF00030A0001010018
[2025-12-31 13:24:06,169],[8],INFO,SDKLog,【RX】 FF000B0A0000005555555555555555B9AA
[2025-12-31 13:24:06,404],[10],DEBUG,SDKLog,【TX】FF00030A0001010018
[2025-12-31 13:24:06,668],[8],INFO,SDKLog,【RX】 FF000B0A0000005555555555555555B9AA
[2025-12-31 13:24:06,903],[10],DEBUG,SDKLog,【TX】FF00030A0001010018
[2025-12-31 13:24:07,168],[8],INFO,SDKLog,【RX】 FF000B0A0000005555555555555555B9AA
[2025-12-31 13:24:07,402],[10],DEBUG,SDKLog,【TX】FF00030A0001010018
[2025-12-31 13:24:07,666],[8],INFO,SDKLog,【RX】 FF000B0A0000005555555555555555B9AA
[2025-12-31 13:24:07,900],[10],DEBUG,SDKLog,【TX】FF00030A0001010018
[2025-12-31 13:24:08,167],[8],INFO,SDKLog,【RX】 FF000B0A0000005555555555555555B9AA
[2025-12-31 13:24:08,401],[10],DEBUG,SDKLog,【TX】FF00030A0001010018
[2025-12-31 13:24:08,666],[8],INFO,SDKLog,【RX】 FF000B0A0000005555555555555555B9AA
[2025-12-31 13:24:08,913],[10],DEBUG,SDKLog,【TX】FF00030A0001010018
[2025-12-31 13:24:09,164],[8],INFO,SDKLog,【RX】 FF000B0A0000005555555555555555B9AA
[2025-12-31 13:24:09,398],[10],DEBUG,SDKLog,【TX】FF00030A0001010018
[2025-12-31 13:24:09,662],[8],INFO,SDKLog,【RX】 FF000B0A0000005555555555555555B9AA
[2025-12-31 13:24:09,909],[10],DEBUG,SDKLog,【TX】FF00030A0001010018
[2025-12-31 13:24:10,158],[8],INFO,SDKLog,【RX】 FF000B0A0000005555555555555555B9AA
