[2026-03-21 15:41:56,371],[1],DEBUG,SDKLog,??log4net?件,可以?出日志
[2026-03-21 15:42:02,992],[10],DEBUG,SDKLog,【TX】FF0000015B82
[2026-03-21 15:42:03,018],[8],INFO,SDKLog,【RX】 FF000E010000312E303020240A25312E3139B039
[2026-03-21 15:42:06,977],[1],DEBUG,SDKLog,【TX】FF00030C0000000491
[2026-03-21 15:42:07,011],[8],INFO,SDKLog,【RX】 FF00050C0000010110E849
[2026-03-21 15:42:09,420],[10],DEBUG,SDKLog,【TX】FF00030A0001010018
[2026-03-21 15:42:10,389],[8],INFO,SDKLog,【RX】 FF00030A0001001039
[2026-03-21 15:42:10,389],[10],DEBUG,SDKLog,【TX】FF00030A0001010018
[2026-03-21 15:42:10,781],[8],INFO,SDKLog,【RX】 FF00130A0000005555555555555555000000000000000095AE
[2026-03-21 15:42:11,010],[10],DEBUG,SDKLog,【TX】FF00030A0001010018
[2026-03-21 15:42:11,590],[8],INFO,SDKLog,【RX】 FF00130A0000005555555555555555000000000000000095AE
[2026-03-21 15:42:11,808],[10],DEBUG,SDKLog,【TX】FF00030A0001010018
[2026-03-21 15:42:12,781],[8],INFO,SDKLog,【RX】 FF00030A0001001039
[2026-03-21 15:42:12,781],[10],DEBUG,SDKLog,【TX】FF00030A0001010018
[2026-03-21 15:42:13,639],[8],INFO,SDKLog,【RX】 FF00030A0001001039
[2026-03-21 15:42:13,639],[10],DEBUG,SDKLog,【TX】FF00030A0001010018
[2026-03-21 15:42:14,489],[8],INFO,SDKLog,【RX】 FF00030A0001001039
[2026-03-21 15:42:14,489],[10],DEBUG,SDKLog,【TX】FF00030A0001010018
[2026-03-21 15:42:15,321],[8],INFO,SDKLog,【RX】 FF00030A0001001039
[2026-03-21 15:42:15,321],[10],DEBUG,SDKLog,【TX】FF00030A0001010018
[2026-03-21 15:42:16,280],[8],INFO,SDKLog,【RX】 FF00030A0001001039
[2026-03-21 15:42:16,280],[10],DEBUG,SDKLog,【TX】FF00030A0001010018
[2026-03-21 15:42:17,251],[8],INFO,SDKLog,【RX】 FF00030A0001001039
[2026-03-21 15:42:17,267],[10],DEBUG,SDKLog,【TX】FF00030A0001010018
[2026-03-21 15:42:17,835],[8],INFO,SDKLog,【RX】 FF00130A0000005555555555555555000000000000000095AE
[2026-03-21 15:42:18,051],[10],DEBUG,SDKLog,【TX】FF00030A0001010018
[2026-03-21 15:42:18,456],[8],INFO,SDKLog,【RX】 FF00130A0000005555555555555555000000000000000095AE
[2026-03-21 15:42:18,683],[10],DEBUG,SDKLog,【TX】FF00030A0001010018
[2026-03-21 15:42:19,383],[8],INFO,SDKLog,【RX】 FF00030A0001001039
[2026-03-21 15:42:19,383],[10],DEBUG,SDKLog,【TX】FF00030A0001010018
[2026-03-21 15:42:20,110],[8],INFO,SDKLog,【RX】 FF00030A0001001039
[2026-03-21 15:42:20,110],[10],DEBUG,SDKLog,【TX】FF00030A0001010018
[2026-03-21 15:42:20,964],[8],INFO,SDKLog,【RX】 FF00030A0001001039
[2026-03-21 15:42:20,964],[10],DEBUG,SDKLog,【TX】FF00030A0001010018
[2026-03-21 15:42:21,537],[8],INFO,SDKLog,【RX】 FF00130A0000005555555555555555000000000000000095AE
[2026-03-21 15:42:21,760],[10],DEBUG,SDKLog,【TX】FF00030A0001010018
[2026-03-21 15:42:22,511],[8],INFO,SDKLog,【RX】 FF00030A0001001039
[2026-03-21 15:42:22,511],[10],DEBUG,SDKLog,【TX】FF00030A0001010018
[2026-03-21 15:42:23,362],[8],INFO,SDKLog,【RX】 FF00030A0001001039
[2026-03-21 15:42:23,362],[10],DEBUG,SDKLog,【TX】FF00030A0001010018
[2026-03-21 15:42:24,237],[8],INFO,SDKLog,【RX】 FF00030A0001001039
[2026-03-21 15:42:24,237],[10],DEBUG,SDKLog,【TX】FF00030A0001010018
[2026-03-21 15:42:25,092],[8],INFO,SDKLog,【RX】 FF00030A0001001039
[2026-03-21 15:42:25,092],[10],DEBUG,SDKLog,【TX】FF00030A0001010018
[2026-03-21 15:42:25,676],[8],INFO,SDKLog,【RX】 FF00130A0000005555555555555555000000000000000095AE
[2026-03-21 15:42:25,903],[10],DEBUG,SDKLog,【TX】FF00030A0001010018
[2026-03-21 15:42:26,893],[8],INFO,SDKLog,【RX】 FF00030A0001001039
[2026-03-21 15:42:26,893],[10],DEBUG,SDKLog,【TX】FF00030A0001010018
[2026-03-21 15:42:27,442],[8],INFO,SDKLog,【RX】 FF00130A0000005555555555555555000000000000000095AE
[2026-03-21 15:42:27,658],[10],DEBUG,SDKLog,【TX】FF00030A0001010018
[2026-03-21 15:42:28,058],[8],INFO,SDKLog,【RX】 FF00130A0000005555555555555555000000000000000095AE
[2026-03-21 15:42:28,269],[10],DEBUG,SDKLog,【TX】FF00030A0001010018
[2026-03-21 15:42:29,112],[8],INFO,SDKLog,【RX】 FF00030A0001001039
[2026-03-21 15:42:29,112],[10],DEBUG,SDKLog,【TX】FF00030A0001010018
[2026-03-21 15:42:29,982],[8],INFO,SDKLog,【RX】 FF00030A0001001039
[2026-03-21 15:42:29,982],[10],DEBUG,SDKLog,【TX】FF00030A0001010018
[2026-03-21 15:42:30,853],[8],INFO,SDKLog,【RX】 FF00030A0001001039
[2026-03-21 15:42:30,853],[10],DEBUG,SDKLog,【TX】FF00030A0001010018
[2026-03-21 15:42:31,881],[8],INFO,SDKLog,【RX】 FF00030A0001001039
[2026-03-21 15:42:31,881],[10],DEBUG,SDKLog,【TX】FF00030A0001010018
[2026-03-21 15:42:32,752],[8],INFO,SDKLog,【RX】 FF00030A0001001039
[2026-03-21 15:42:32,752],[10],DEBUG,SDKLog,【TX】FF00030A0001010018
[2026-03-21 15:42:33,734],[8],INFO,SDKLog,【RX】 FF00030A0001001039
[2026-03-21 15:42:45,962],[10],DEBUG,SDKLog,【TX】FF00030A0001010018
[2026-03-21 15:42:46,720],[8],INFO,SDKLog,【RX】 FF00030A0001001039
[2026-03-21 15:42:46,720],[10],DEBUG,SDKLog,【TX】FF00030A0001010018
[2026-03-21 15:42:47,568],[8],INFO,SDKLog,【RX】 FF00030A0001001039
[2026-03-21 15:42:47,568],[10],DEBUG,SDKLog,【TX】FF00030A0001010018
[2026-03-21 15:42:48,454],[8],INFO,SDKLog,【RX】 FF00030A0001001039
[2026-03-21 15:42:48,454],[10],DEBUG,SDKLog,【TX】FF00030A0001010018
[2026-03-21 15:42:49,186],[8],INFO,SDKLog,【RX】 FF00030A0001001039
[2026-03-21 15:42:49,186],[10],DEBUG,SDKLog,【TX】FF00030A0001010018
[2026-03-21 15:42:49,884],[8],INFO,SDKLog,【RX】 FF00030A0001001039
[2026-03-21 15:42:49,884],[10],DEBUG,SDKLog,【TX】FF00030A0001010018
[2026-03-21 15:42:50,632],[8],INFO,SDKLog,【RX】 FF00030A0001001039
[2026-03-21 15:42:50,648],[10],DEBUG,SDKLog,【TX】FF00030A0001010018
[2026-03-21 15:42:51,534],[8],INFO,SDKLog,【RX】 FF00030A0001001039
[2026-03-21 15:42:51,534],[10],DEBUG,SDKLog,【TX】FF00030A0001010018
[2026-03-21 15:42:52,348],[8],INFO,SDKLog,【RX】 FF00030A0001001039
[2026-03-21 15:42:52,348],[10],DEBUG,SDKLog,【TX】FF00030A0001010018
[2026-03-21 15:42:53,215],[8],INFO,SDKLog,【RX】 FF00030A0001001039
[2026-03-21 15:42:53,216],[10],DEBUG,SDKLog,【TX】FF00030A0001010018
[2026-03-21 15:42:53,791],[8],INFO,SDKLog,【RX】 FF00130A0000005555555555555555000000000000000095AE
[2026-03-21 15:42:54,015],[10],DEBUG,SDKLog,【TX】FF00030A0001010018
